"Employee.ID","Designation","Type.of.Leave_Absent","Type.of.Leave_Casual Leave","Type.of.Leave_Casual Leave Confirmed COE","Type.of.Leave_Earned Leave","Type.of.Leave_Earned Leave Confirmed COE","Type.of.Leave_LWP","Type.of.Leave_Sick Leave","Leave.applied.for.no..of.days","Leave.Dates.From","Leave.Dates.to","Date.of.joining.the.company","Status.of.Leave_Absent","Status.of.Leave_Approved","Status.of.Leave_Rejected","Leave.Dates.From.Date","Leave.Dates.From.Month","Leave.Dates.From.Year","Leave.Dates.to.Date","Leave.Dates.to.Month","Leave.Dates.to.Year","From.my","To.my"
"VHR153","Trainee Dealer",0,1,0,0,0,0,0,1,2017-04-28,2017-04-28,2015-06-13,0,1,0,28,4,2017,28,4,2017,42017,42017
"VHR159","Trainee Dealer",0,0,0,1,0,0,0,3,2017-01-18,2017-01-20,2015-06-13,0,1,0,18,1,2017,20,1,2017,12017,12017
"VHR162","Trainee Dealer",0,0,0,1,0,0,0,0.5,2017-04-11,2017-04-11,2015-06-13,0,1,0,11,4,2017,11,4,2017,42017,42017
"VHR162","Trainee Dealer",0,0,0,1,0,0,0,0.5,2017-03-08,2017-03-08,2015-06-13,0,1,0,8,3,2017,8,3,2017,32017,32017
"VHR162","Trainee Dealer",0,0,0,1,0,0,0,1,2017-03-14,2017-03-14,2015-06-13,0,1,0,14,3,2017,14,3,2017,32017,32017
"VHR162","Trainee Dealer",0,0,0,1,0,0,0,0.5,2017-03-28,2017-03-28,2015-06-13,0,1,0,28,3,2017,28,3,2017,32017,32017
"VHR162","Trainee Dealer",0,1,0,0,0,0,0,1,2017-04-17,2017-04-17,2015-06-13,0,1,0,17,4,2017,17,4,2017,42017,42017
"VHR162","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-01-04,2017-01-04,2015-06-13,0,1,0,4,1,2017,4,1,2017,12017,12017
"VHR162","Trainee Dealer",0,0,0,0,0,1,0,1,2017-03-16,2017-03-16,2015-06-13,0,1,0,16,3,2017,16,3,2017,32017,32017
"VHR162","Trainee Dealer",0,0,0,0,0,1,0,1,2017-05-10,2017-05-10,2015-06-13,0,1,0,10,5,2017,10,5,2017,52017,52017
"VHR162","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-02-01,2017-02-01,2015-06-13,0,1,0,1,2,2017,1,2,2017,22017,22017
"VHR162","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-02-07,2017-02-07,2015-06-13,0,1,0,7,2,2017,7,2,2017,22017,22017
"VHR162","Trainee Dealer",0,1,0,0,0,0,0,1,2017-02-08,2017-02-08,2015-06-13,0,1,0,8,2,2017,8,2,2017,22017,22017
"VHR162","Trainee Dealer",0,0,0,0,0,1,0,1,2017-02-08,2017-02-08,2015-06-13,0,1,0,8,2,2017,8,2,2017,22017,22017
"VHR162","Trainee Dealer",0,0,0,0,0,1,0,1,2017-02-09,2017-02-09,2015-06-13,0,1,0,9,2,2017,9,2,2017,22017,22017
"VHR162","Trainee Dealer",0,0,0,0,0,1,0,1,2017-02-10,2017-02-10,2015-06-13,0,1,0,10,2,2017,10,2,2017,22017,22017
"VHR162","Trainee Dealer",0,0,0,0,0,1,0,1,2017-01-27,2017-01-27,2015-06-13,0,1,0,27,1,2017,27,1,2017,12017,12017
"VHR143","Trainee Dealer",0,0,0,0,0,0,1,0.5,2017-04-10,2017-04-10,2015-06-15,0,1,0,10,4,2017,10,4,2017,42017,42017
"VHR143","Trainee Dealer",0,0,0,1,0,0,0,1,2017-05-03,2017-05-03,2015-06-15,0,1,0,3,5,2017,3,5,2017,52017,52017
"VHR143","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-03-14,2017-03-14,2015-06-15,0,1,0,14,3,2017,14,3,2017,32017,32017
"VHR143","Trainee Dealer",0,0,0,1,0,0,0,1,2017-02-06,2017-02-06,2015-06-15,0,1,0,6,2,2017,6,2,2017,22017,22017
"VHR143","Trainee Dealer",0,0,0,1,0,0,0,0.5,2017-02-14,2017-02-14,2015-06-15,0,1,0,14,2,2017,14,2,2017,22017,22017
"VHR143","Trainee Dealer",0,0,0,1,0,0,0,1,2017-02-16,2017-02-16,2015-06-15,0,1,0,16,2,2017,16,2,2017,22017,22017
"VHR143","Trainee Dealer",0,0,0,1,0,0,0,1,2017-01-23,2017-01-23,2015-06-15,0,1,0,23,1,2017,23,1,2017,12017,12017
"VHR143","Trainee Dealer",0,0,0,1,0,0,0,1,2017-03-01,2017-03-01,2015-06-15,0,1,0,1,3,2017,1,3,2017,32017,32017
"VHR143","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-01-17,2017-01-17,2015-06-15,0,1,0,17,1,2017,17,1,2017,12017,12017
"VHR143","Trainee Dealer",0,1,0,0,0,0,0,1,2017-01-18,2017-01-18,2015-06-15,0,1,0,18,1,2017,18,1,2017,12017,12017
"VHR161","Trainee Dealer",0,0,0,0,0,0,1,0.5,2017-05-22,2017-05-22,2015-06-13,0,1,0,22,5,2017,22,5,2017,52017,52017
"VHR161","Trainee Dealer",0,0,0,1,0,0,0,0.5,2017-05-08,2017-05-08,2015-06-13,0,1,0,8,5,2017,8,5,2017,52017,52017
"VHR161","Trainee Dealer",0,0,0,1,0,0,0,1,2017-05-09,2017-05-09,2015-06-13,0,1,0,9,5,2017,9,5,2017,52017,52017
"VHR161","Trainee Dealer",0,0,0,0,0,0,1,0.5,2016-12-13,2016-12-13,2015-06-13,0,1,0,13,12,2016,13,12,2016,122016,122016
"VHR161","Trainee Dealer",0,0,0,1,0,0,0,1,2017-02-22,2017-02-22,2015-06-13,0,1,0,22,2,2017,22,2,2017,22017,22017
"VHR161","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-01-12,2017-01-12,2015-06-13,0,1,0,12,1,2017,12,1,2017,12017,12017
"VHR161","Trainee Dealer",0,0,0,0,0,1,0,1,2016-12-14,2016-12-14,2015-06-13,0,1,0,14,12,2016,14,12,2016,122016,122016
"VHR161","Trainee Dealer",0,0,0,0,0,1,0,1,2017-02-27,2017-02-27,2015-06-13,0,1,0,27,2,2017,27,2,2017,22017,22017
"VHR161","Trainee Dealer",0,0,0,0,0,1,0,1,2017-02-28,2017-02-28,2015-06-13,0,1,0,28,2,2017,28,2,2017,22017,22017
"VHR144","Trainee Dealer",0,0,0,1,0,0,0,0.5,2017-04-25,2017-04-25,2015-06-15,0,1,0,25,4,2017,25,4,2017,42017,42017
"VHR144","Trainee Dealer",0,0,0,1,0,0,0,1,2017-04-28,2017-04-28,2015-06-15,0,1,0,28,4,2017,28,4,2017,42017,42017
"VHR144","Trainee Dealer",0,1,0,0,0,0,0,1,2017-04-05,2017-04-05,2015-06-15,0,1,0,5,4,2017,5,4,2017,42017,42017
"VHR144","Trainee Dealer",0,1,0,0,0,0,0,0.5,2017-04-06,2017-04-06,2015-06-15,0,1,0,6,4,2017,6,4,2017,42017,42017
"VHR144","Trainee Dealer",0,0,0,0,0,1,0,1,2016-12-19,2016-12-19,2015-06-15,0,1,0,19,12,2016,19,12,2016,122016,122016
"VHR144","Trainee Dealer",0,0,0,0,0,1,0,0.5,2017-02-09,2017-02-09,2015-06-15,0,1,0,9,2,2017,9,2,2017,22017,22017
"VHR144","Trainee Dealer",0,0,0,0,0,1,0,0.5,2017-02-17,2017-02-17,2015-06-15,0,1,0,17,2,2017,17,2,2017,22017,22017
"VHR144","Trainee Dealer",0,0,0,0,0,1,0,1,2017-01-25,2017-01-25,2015-06-15,0,1,0,25,1,2017,25,1,2017,12017,12017
"VHR144","Trainee Dealer",0,0,0,0,0,1,0,0.5,2017-01-27,2017-01-27,2015-06-15,0,1,0,27,1,2017,27,1,2017,12017,12017
"VHR165","Trainee Dealer",0,0,0,0,0,0,1,0.5,2017-04-13,2017-04-13,2015-08-17,0,1,0,13,4,2017,13,4,2017,42017,42017
"VHR165","Trainee Dealer",0,0,0,0,0,0,1,1,2017-04-24,2017-04-24,2015-08-17,0,1,0,24,4,2017,24,4,2017,42017,42017
"VHR165","Trainee Dealer",0,0,0,1,0,0,0,5,2017-05-15,2017-05-19,2015-08-17,0,1,0,15,5,2017,19,5,2017,52017,52017
"VHR165","Trainee Dealer",0,0,0,1,0,0,0,1,2016-12-23,2016-12-23,2015-08-17,0,1,0,23,12,2016,23,12,2016,122016,122016
"VHR165","Trainee Dealer",0,0,0,0,0,1,0,1.5,2016-12-21,2016-12-22,2015-08-17,0,1,0,21,12,2016,22,12,2016,122016,122016
"VHR165","Trainee Dealer",0,0,0,0,0,1,0,3,2017-01-09,2017-01-11,2015-08-17,0,1,0,9,1,2017,11,1,2017,12017,12017
"VHR141","Trainee Dealer",0,0,0,0,0,0,1,2,2017-04-10,2017-04-11,2015-06-15,0,1,0,10,4,2017,11,4,2017,42017,42017
